학년,학기,이수구분,학수번호,학부(과),교과목명,학점,시간,교과목해설
1학년,1학기,1전선,HAAA1112,역사콘텐츠전공,중국의역사와문화,3,3,"중국 역사상 중요한 의미를 갖는 정치, 사회, 문화 등 각 방면의 주요 문제를 주제별로 접근하여 살펴보고, 이를 통해 당시 시대상에 대한 이해를 돕는다."
1학년,1학기,1전선,HAAA9009,역사콘텐츠전공,역사학의이해,3,3,"이 과목은, 역사라는 것을 “있는 그대로의 사실”로 본질화(substantialize)시켜온 근대 역사학 연구의 인식론적 한계를 넘어, 우리가 “역사”라고 부르는 것이 과연 구체적으로 누구에 의해서, 어떤 시각에 입각해서, 어떤 역사적 맥락 속에서, 어떻게 역사화되는가 라는 근원적 질문들을 탐구하는 것을 목표로 한다."
1학년,2학기,1전선,HAAA6005,역사콘텐츠전공,한국사사료강독과DB활용,3,3,"이 과목은 한국사를 연구하는 데에 가장 기초가 되는 사료들 을 정확하게 이해하고 활용하는 방법을 익히는 것을 목표로 한다. 이 목표를 달성하기 위해, 이 수업에서는 한국사 관련 주요 사료와 연구논저들의 Digital Database들을 활용하는 방법을 배우고, 이를 통해 학생들이 직접 찾은 주요 사료들을 해석/강독하는 것을 배운다. 이 과정을 통해, 학생들로 하여금 한국사의 주요한 국면들을 보다 생생하게 이해하고 그 이해를 바탕으로 보다 구체적인 결과물을 만들어 낼 수 있는 능력을 기르게 하려는 것이다."
1학년,2학기,1전선,HAAA6016,역사콘텐츠전공,역사콘텐츠의이해,3,3,문화콘텐츠의 활성화에 따라 다양한 콘텐츠 개발에 대한 관심이 고양되고 있다. 특히 역사분야는 이러한 콘텐츠를 제공할 수 있는 무한한 가능성을 갖고 있다는 점에서 주목을 받고 있다. 현재 이루어지고 있는 문화콘텐츠 산업 및 지원의 현황을 파악하고 향후 어떤 방식으로 발전할 것인가를 모색하여 역사학도로서의 전망을 가져본다. 특히 사학 전공에서 역사콘텐츠 전공으로 전환한 의미를 확인한다.
1학년,2학기,1전선,HAAA9230,역사콘텐츠전공,서양고대사,3,3,오늘날 서양 문화의 모태가 되는 서양 고전고대 문화의 탄생과 발전을 살펴봄으로써 서양 문명의 기원과 특성을 이해한다.
2학년,1학기,1전선,HAAA6015,역사콘텐츠전공,한국고대사,3,3,이 강의는 한국 고대의 역사와 문화유산에 대한 전반적인 이해를 돕는데 그 목적이 있다. 이 강의에서는 한국 고대사회에 대한 이해를 통해 한국사의 전반적인 전개과정을 파악하는데 주력한다.
2학년,1학기,1전선,HAAA6019,역사콘텐츠전공,서양사사료강독과DB활용,3,3,"서양사의 주요 문헌과 자료의 원문을 읽음으로써 서양사의 이해를 심화하고 서구어, 특히 영어의 구사 능력을 증진한다."
2학년,1학기,1전선,HAAA9001,역사콘텐츠전공,일본고중세사,3,3,"일본의 고대와 중세를 중심으로 우리가 필요로 하는 일본의 사회, 문화, 정치, 경제 등 일본전통사회에 대한 기초적인 문제를 고찰하고자 한다."
2학년,1학기,1전선,HAAA9007,역사콘텐츠전공,근대중국과세계질서,3,3,"중국 명청왕조 시대에 대한 기초, 심화 지식을 습득하고, 명청왕조를 통해 동아시아질서의 변화를 파악하는 능력 배양"
2학년,1학기,1전선,HAAA9233,역사콘텐츠전공,인물로보는중국사,3,3,중국역사와 문화를 이끌었던 역사인물의 삶을 통해 과거 중국인들의 지향점과 중국사회의 특징을 고찰한다.
